SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
ABT147,147,Abington,domp,w,EPA,CT,Windham,EA,41.84046,-72.010368,202.0,"Hampton, CT",Urban/Agric,Rolling,Mixed,CT15,0.056,2020-01-30 13:25:29
ACA416,416,Acadia NP,dom,,NPS,ME,Hancock,EA,44.377086,-68.2608,158.0,,Forest,Rolling,Mixed,ME98,0.013,2020-01-30 13:25:29
ALB801,801,Elk Island,dm,,EPA,AB,Improvement Dist 13,MO,53.6824,-112.868,711.0,,Forest,Flat,Yes,AB35,0.0,2023-04-11 00:00:00
ALC188,188,Alabama-Coushatta Tribe of Texas,dom,,EPA,TX,Polk,CE,30.701577,-94.674011,105.0,,Prairie,Rolling,Yes,TX41,0.08,2023-02-21 14:21:31
ALH157,157,Alhambra,,dompw,EPA,IL,Madison,CE,38.869,-89.6228,164.0,"Pocohantas, IL",Agric,Flat,Yes,IL46,0.0782,2014-02-25 00:00:00
ALH257,257,Alhambra Collocated,,domw,EPA,IL,Madison,CE,38.869001,-89.622815,164.0,,Agric,Flat,Yes,IL46,0.08,2020-01-30 13:25:29
ALH557,557,Alhambra Aerosol,,a,EPA,IL,Madison,CE,38.869001,-89.622815,164.0,"Pocahontas, IL",Agric,Flat,,IL46,0.08,2020-01-30 13:25:29
ANA115,115,Ann Arbor,domp,w,EPA,MI,Washtenaw,EA,42.416636,-83.90218,266.0,"Pinckney, MI",Forest,Flat,Mixed,MI52,0.035,2020-01-30 13:25:29
ANL146,146,Argonne NL,,dom,EPA,IL,DuPage,CE,41.7,-87.99,229.0,"Sag Bridge, IL",Urban/Agric,Rolling,Mixed,IN34,75.493,2020-01-30 13:25:29
ARE128,128,Arendtsville,domp,w,EPA,PA,Adams,EA,39.923241,-77.307863,266.0,"Arendtsville, PA",Agric,Rolling,Mixed,PA00,0.017,2020-01-30 13:25:29
ARE228,228,Arendtsville Collocated,,domw,EPA,PA,Adams,EA,39.923241,-77.307863,266.0,"Arendtsville, PA",Forest,Rolling,Mixed,PA00,0.017,2020-01-30 13:25:29
ARE528,528,Arendtsville Aerosol,,ain,EPA,PA,Adams,EA,39.923241,-77.307863,266.0,"Arendtsville, PA",Agric,Rolling,,PA00,0.017,2020-01-30 13:25:29
ASH135,135,Ashland,dom,,EPA,ME,Aroostook,EA,46.603832,-68.413227,231.0,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,2020-01-30 13:25:29
ASH235,235,Ashland Collocated,,dom,EPA,ME,Aroostook,EA,46.603832,-68.413227,231.0,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,2020-01-30 13:25:29
BAS601,601,Basin,dom,,BLM,WY,Big Horn,MO,44.28,-108.0411,1242.0,,Prairie,Rolling,Mixed,MT00,151.068,2020-01-30 13:25:29
BBE401,401,Big Bend NP,dom,,NPS,TX,Brewster,CE,29.302651,-103.177813,1052.0,,Forest,Complex,Mixed,TX04,0.033,2020-01-30 13:25:29
BEL116,116,Beltsville,dom,t,EPA,MD,Prince George's,EA,39.028177,-76.817127,47.0,"Laurel, MD",Range,Flat,Mixed,MD99,0.02,2020-01-30 13:25:29
BEL216,216,Beltsville Collocated,,r,EPA,MD,Prince George's,EA,39.028177,-76.817127,47.0,"Laurel, MD",Range,Flat,Mixed,MD99,0.02,2020-01-30 13:25:29
BFT142,142,Beaufort,domp,w,EPA,NC,Carteret,EA,34.884668,-76.620666,5.0,,Agric,Flat,Yes,NC06,0.008,2020-01-30 13:25:29
BUF603,603,Buffalo,dm,,BLM,WY,Johnson,MO,44.1442,-106.1089,1324.0,,Prairie,Rolling,Mixed,WY99,156.67,2020-01-30 13:25:29
BVL130,130,Bondville,domt,,EPA,IL,Champaign,CE,40.051981,-88.372495,213.0,"Bondville, IL",Agric,Flat,Yes,IL11,0.104,2020-01-30 13:25:29
BVL530,530,Bondville Aerosol,,a,EPA,IL,Champaign,CE,40.051981,-88.372495,213.0,"Bondville, IL",Agric,Flat,,IL11,0.104,2020-01-30 13:25:29
BWR139,139,Blackwater NWR,dom,,EPA,MD,Dorchester,EA,38.444971,-76.111274,1.0,,Forest/Marsh,Coastal,Mixed,MD15,50.673,2020-01-30 13:25:29
CAD150,150,Caddo Valley,dom,,EPA,AR,Clark,CE,34.179278,-93.098755,78.0,"Caddo Valley, AR",Forest,Complex,No,AR03,0.048,2020-01-30 13:25:29
CAN407,407,Canyonlands NP,dom,,NPS,UT,San Juan,MO,38.458323,-109.82126,1809.0,,Desert,Complex,Mixed,UT09,0.024,2020-01-30 13:25:29
CAT175,175,Claryville,dm,o,EPA,NY,Ulster,EA,41.942325,-74.551999,754.0,,Forest,Complex,No,NY68,6.99,2020-01-30 13:25:29
CAV436,436,Carlsbad Caverns NP,om,,NPS,NM,Eddy,MO,32.1783,-104.4406,1357.0,,Desert,Complex,No,AZ98,184.5,2022-04-21 06:54:47
CDR119,119,Cedar Creek,domp,w,EPA,WV,Gilmer,EA,38.879503,-80.847677,240.0,"Glenville, WV",Forest,Complex,No,WV05,0.013,2020-01-30 13:25:29
CDZ171,171,Cadiz,dom,,EPA,KY,Trigg,CE,36.784053,-87.85015,190.0,"7.5 min. Topo Cadiz, KY",Agric,Rolling,Yes,KY99,19.56,2020-01-30 13:25:29
CDZ571,571,Cadiz Aerosol,,ain,EPA,KY,Trigg,CE,36.784053,-87.85015,190.0,"7.5 min. Topo Cadiz, KY",Agric,Rolling,,KY99,19.56,2020-01-30 13:25:29
CHA267,267,Chiricahua NM Collocated,,dom,EPA,AZ,Cochise,MOno,32.009405,-109.389058,1569.0,,Range,Complex,No,AZ98,0.036,2020-01-30 13:25:29
CHA467,467,Chiricahua NM,domp,w,NPS,AZ,Cochise,MOno,32.009405,-109.389058,1570.0,"Bowie Mountain South, AZ",Range,Complex,No,AZ98,0.036,2020-01-30 13:25:29
CHC432,432,Chaco Culture NHP,omt,,NPS,NM,San Juan,MO,36.035,-107.9042,1965.0,,Desert,Complex,No,CO99,139.315,2020-01-30 13:25:29
CHE185,185,Cherokee Nation,dom,,EPA,OK,Adair,CE,35.750786,-94.669789,305.0,,Agric,Rolling,Yes,AR27,59.29,2020-01-30 13:25:29
CKT136,136,Crockett,dom,,EPA,KY,Morgan,EA,37.92146,-83.066295,376.0,"Dingus, KY",Agric,Rolling,Mixed,KY35,47.522,2020-01-30 13:25:29
CLD303,303,Clingmans Dome MADPro,,dmc,EPA,TN,Sevier,EA,35.5631,-83.4986,2014.0,,Forest,Complex,No,TN11,13.986,2020-01-30 13:25:29
CND125,125,Candor,dom,w,EPA,NC,Montgomery,EA,35.26333,-79.83754,172.0,"Biscoe, NC",Forest,Rolling,Mixed,NC36,43.025,2020-01-30 13:25:29
CNT169,169,Centennial,dom,,EPA,WY,Albany,MO,41.364531,-106.24002,3175.0,"Centennial, WY",Forest,Complex,Mixed,WY95,0.068,2020-01-30 13:25:29
CON186,186,Converse Station,,dom,EPA,CA,San Bernardino,PA,34.194048,-116.912977,1718.0,Big Bear Lake,Forest/Arid,Complex,No,CA94,0.03,2020-01-30 13:25:29
COW005,5,Coweeta Screwdriver Knob,,dm,EPA,NC,Macon,EA,35.04826,-83.45428,960.0,,Forest,Complex,No,NC25,2.559,2020-01-30 13:25:29
COW137,137,Coweeta,dom,,EPA,NC,Macon,EA,35.060527,-83.43034,683.0,"Prentiss, NC",Forest,Complex,No,NC25,0.015,2020-01-30 13:25:29
COW182,182,Coweeta Special,,d,EPA,NC,Macon,EA,35.060527,-83.43034,683.0,,Forest,Complex,No,NC25,0.015,2020-01-30 13:25:29
CRM435,435,Craters of the Moon NM and Preserve,om,,NPS,ID,Butte,MO,43.4606,-113.5622,,,Desert,Rolling,,ID03,0.575,2020-01-30 13:25:29
CTH110,110,Connecticut Hill,dom,w,EPA,NY,Tompkins,EA,42.400875,-76.653516,511.0,"Mecklenberg, NY",Forest,Rolling,No,NY67,0.447,2020-01-30 13:25:29
CTH510,510,Connecticut Hill Aerosol,,ain,EPA,NY,Tompkins,EA,42.400875,-76.653516,511.0,"Mecklenberg, NY",Forest,Rolling,,NY67,0.447,2020-01-30 13:25:29
CVL151,151,Coffeeville,dom,,EPA,MS,Yalobusha,CE,34.002747,-89.799183,138.0,"Coker Lake, MS",Forest,Rolling,Mixed,MS30,0.029,2020-01-30 13:25:29
DCP114,114,Deer Creek,domp,w,EPA,OH,Fayette,EA,39.635888,-83.260563,264.0,"Mount Sterling, OH",Agric,Rolling,Yes,OH54,0.003,2020-01-30 13:25:29
DCP214,214,Deer Creek Collocated,,dom,EPA,OH,Fayette,EA,39.635888,-83.260563,264.0,,Agric,Rolling,Yes,OH54,0.003,2020-01-30 13:25:29
DEN417,417,Denali NP,dom,,NPS,AK,Denali,AL,63.7232,-148.9676,661.0,,Forest,Complex,No,AK03,0.0,2020-01-30 13:25:29
DEV412,412,Death Valley NM,om,d,NPS,CA,Inyo,PA,36.5089,-116.8478,125.0,,Desert,Complex,No,CA75,172.959,2020-01-30 13:25:29
DIN431,431,Dinosaur NM,dom,,NPS,UT,Uintah,MO,40.4373,-109.3046,1463.0,,Desert,Complex,No,UT95,37.794,2020-01-30 13:25:29
DUK008,8,Duke Forest,domt,,EPA,NC,Orange,EA,35.9745,-79.099,164.0,,Forest,Rolling,No,NC41,46.63,2020-01-30 13:25:29
EGB181,181,Egbert,dm,,EPA,ON,,EA,44.231071,-79.783115,227.0,,Agric,Rolling,Yes,NY92,159.95,2020-01-30 13:25:29
EGB281,281,Egbert Collocated,,d,EPA,ON,,EA,44.231071,-79.783115,227.0,,Agric,Rolling,Yes,NY92,159.95,2020-01-30 13:25:29
ESP127,127,Edgar Evins,dom,,EPA,TN,DeKalb,CE,36.03893,-85.73305,302.0,"Silver Point, TN",Forest,Rolling,No,KY10,126.823,2020-01-30 13:25:29
EVE419,419,Everglades NP,dm,o,NPS,FL,Miami-Dade,EA,25.391223,-80.680819,2.0,,Forest/Marsh,Flat,Yes,FL11,0.159,2020-01-30 13:25:29
FOR605,605,Fortification Creek,dm,,BLM,WY,Campbell,MO,44.3395,-105.9198,1408.0,,Prairie,Rolling,Mixed,WY99,147.744,2020-01-30 13:25:29
GAS153,153,Georgia Station,dom,,EPA,GA,Pike,EA,33.181173,-84.410054,265.0,"Hollonville, GA",Agric,Rolling,Mixed,GA41,0.078,2020-01-30 13:25:29
GAS253,253,Georgia Station Collocated,,dom,EPA,GA,Pike,EA,33.181173,-84.410054,265.0,,Agric,Rolling,Mixed,GA41,0.078,2020-01-30 13:25:29
GLR468,468,Glacier NP,dom,,NPS,MT,Flathead,MO,48.510301,-113.996807,976.0,"Lake McDonald West, MT",Forest,Complex,No,MT05,0.018,2020-01-30 13:25:29
GRB411,411,Great Basin NP,dom,,NPS,NV,White Pine,PA,39.005121,-114.215932,2060.0,,Forest,Complex,No,NV05,0.098,2020-01-30 13:25:29
GRC474,474,Grand Canyon NP,dom,,NPS,AZ,Coconino,MOno,36.058642,-112.183575,2073.0,Grand Canyon,Forest,Rolling,Mixed,AZ03,0.039,2020-01-30 13:25:29
GRS420,420,Great Smoky NP - Look Rock,domt,,NPS,TN,Blount,EA,35.633482,-83.941606,793.0,,Forest,Complex,No,TN11,32.0,2020-01-30 13:25:29
GRT434,434,Grand Teton NP,om,,NPS,WY,Teton,MO,43.6708,-110.5995,2105.0,,Forest,Rolling,No,WY94,19.813,2020-01-30 13:25:29
GTH161,161,Gothic,domp,w,EPA,CO,Gunnison,MO,38.95627,-106.98587,2915.0,"Gothic, CO",Range,Complex,No,CO10,0.022,2020-01-30 13:25:29
HBR183,183,Hubbard Brook Special,,d,EPA,NH,Grafton,EA,43.95,-71.7,322.0,,Forest,Complex,No,NH02,0.78,2020-01-30 13:25:29
HOW132,132,Howland,,dom,EPA,ME,Penobscot,EA,45.215607,-68.70851,66.0,"Howland, ME",Forest,Rolling,Yes,ME09,80.859,2020-01-30 13:25:29
HOW191,191,Howland Ameriflux,,dom,EPA,ME,Penobscot,EA,45.203963,-68.740041,68.0,,Forest,Rolling,No,ME09,79.091,2020-01-30 13:25:29
HOX148,148,Hoxeyville,dom,,EPA,MI,Wexford,EA,44.18089,-85.73898,297.0,"Wellston, MI",Forest,Flat,Yes,MI53,7.979,2020-01-30 13:25:29
HVT424,424,Hawaii Volcanoes NP,,dom,NPS,HI,Hawaii,HAno,19.4197,-155.24,1199.0,,Forest/Tropical,Complex,No,CA45,3773.537,2020-01-30 13:25:29
HWF187,187,Huntington Wildlife Forest,domt,,EPA,NY,Essex,EA,43.973044,-74.223317,497.0,Newcomb,Forest,Complex,No,NY20,0.018,2020-01-30 13:25:29
IRL141,141,Indian River Lagoon,dom,,EPA,FL,Indian River,EA,27.849215,-80.455595,2.0,,Coastal/Marsh,Flat/Water,Yes,FL41,187.731,2020-01-30 13:25:29
JOT403,403,Joshua Tree NP,dom,,NPS,CA,San Bernardino,PA,34.069569,-116.388933,1244.0,,Desert,Complex,No,CA67,0.008,2020-01-30 13:25:29
KEF112,112,Kane Exp. Forest,dom,,EPA,PA,Elk,EA,41.598119,-78.767866,618.0,"James City, PA",Forest,Rolling,Yes,PA29,0.047,2020-01-30 13:25:29
KIC003,3,Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,dm,,EPA,KS,Brown,CE,39.8539,-95.6578,367.0,,Prairie,Rolling,Yes,KS97,10.562,2020-01-30 13:25:29
KNZ184,184,Konza Prairie,dm,o,EPA,KS,Riley,CE,39.10216,-96.609583,346.0,,Prairie,Flat,Yes,KS31,0.033,2020-01-30 13:25:29
KVA428,428,Kobuk Valley NP,,dm,NPS,AK,,AL,67.0931,-157.8689,88.0,,,,,AK96,386.969,2020-01-30 13:25:29
